produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria
Kit 3 Café Torrado E Moído Melitta Tradicional Vácuo 500g,122.99,https://http2.mlstatic.com/D_Q_NP_2X_623885-MLA82789031451_022025-V.webp,5.0,500.0,24.6,Café
Café Torrado e Moído Tradicional Café Brasileiro Pacote 500g,34.9,https://http2.mlstatic.com/D_Q_NP_2X_913830-MLA77058949048_062024-V.webp,4.8,500.0,6.98,Café
Café Orfeu Torrado Em Grãos Linha Varietais Arara 250g,40.85,https://http2.mlstatic.com/D_Q_NP_2X_922648-MLA83117119797_032025-V.webp,4.8,250.0,16.34,Café
Café Torrado e Moído a Vácuo Tradicional Caboclo Pacote 500g,29.39,https://http2.mlstatic.com/D_Q_NP_2X_695397-MLU74221379991_012024-V.webp,4.7,500.0,5.88,Café
Café Solúvel Granulado Qualitá Sachê 100g,14.69,https://http2.mlstatic.com/D_Q_NP_2X_660819-MLU75650619058_042024-V.webp,4.6,100.0,14.69,Café
Café instantâneo cappuccino Café do Centro Solúvel tradicional sem glúten pacote 1 kg,54.06,https://http2.mlstatic.com/D_Q_NP_2X_926526-MLA74652687418_022024-V.webp,4.9,1000.0,5.41,Cappuccino
Café Torrado e Moído Tradicional Caixa 500g Melitta,37.9,https://http2.mlstatic.com/D_Q_NP_2X_779641-MLU74246729477_012024-V.webp,4.9,500.0,7.58,Café
Café Solúvel Liofilizado 100% Arábica Vidro 100g 3 Corações,46.18,https://http2.mlstatic.com/D_Q_NP_2X_962068-MLU75812868316_042024-V.webp,4.9,100.0,46.18,Café
Café Especial Tiger Espresso 1kg - Grãos - Doce E Intenso,136.0,https://http2.mlstatic.com/D_Q_NP_2X_708485-MLA80098345050_102024-V.webp,4.8,1000.0,13.6,Café
Café Torrado e Moído a Vácuo Descafeinado 3 Corações Pacote 250g,25.19,https://http2.mlstatic.com/D_Q_NP_2X_935373-MLU74111635044_012024-V.webp,4.8,250.0,10.08,Café
Cafe Em Grao Italiano Lavazza Gold Selection 1 Kg,127.05,https://http2.mlstatic.com/D_Q_NP_2X_753413-MLA82750084580_032025-V.webp,5.0,1000.0,12.71,Café
Cappuccino Classic Solúvel - Três 3 Corações Vending 1kg,78.98,https://http2.mlstatic.com/D_Q_NP_2X_669844-MLB47965020413_102021-V.webp,4.9,1000.0,7.9,Cappuccino
Café Torrado e Moído Equilibrado L'or Torras Gourmet Sachê 250g,49.9,https://http2.mlstatic.com/D_Q_NP_2X_620863-MLU77903255878_082024-V.webp,5.0,250.0,19.96,Café
Kit 3 Cafés 250g Baggio Café Torrado E Moído,99.9,https://http2.mlstatic.com/D_Q_NP_2X_826200-MLU76632118045_052024-V.webp,4.9,250.0,39.96,Café
"Café Solúvel 1,3g Sache Bom Sabor Individual Stick 120 Und",77.95,https://http2.mlstatic.com/D_Q_NP_2X_733902-MLU73874446480_012024-V.webp,4.5,3.0,2598.33,Café
Café Especial 500g Moído,54.9,https://http2.mlstatic.com/D_Q_NP_2X_968801-MLU74859053492_032024-V.webp,4.6,500.0,10.98,Café
